model,nll,rps,brier,mae_median,exact_hit,cov50,cov90,width90,n
model,1.4924285024583477,0.7559807982361996,0.6265380706688988,1.0525699600228442,0.4428136303064915,0.7650009518370455,0.9581001332571863,5.502208261945555,105060.0
nbm,2.1164521781342724,1.0996784228794991,0.8531792057968501,1.5087473824481248,0.24360365505425471,0.6571007043594137,0.9125642490005711,6.617770797639444,105060.0
persistence,2.0285914778443948,1.676937075042971,0.721665347847737,2.3768132495716734,0.3452884066247858,0.7337140681515325,0.9442699409861032,10.351151722825053,105060.0
residual_hist,1.8136073521661227,1.1687532021544285,0.6888034103620959,1.6002474776318294,0.37084523129640207,0.7194365124690653,0.9448600799543119,7.966666666666667,105060.0
