model,brier,logloss,ece,n_contracts
model,0.08128084355875968,0.25844378692890924,0.003900541947322263,630360
nbm,0.11079256197951486,0.3580290633236575,0.03364158603887875,630360
persistence,0.11388540470907826,0.36999286574740115,0.054548813284502395,630360
residual_hist,0.10055729446598417,0.32376576824787406,0.025809679232202724,630360
