hour_lst,model,nll,rps,brier,mae_median,exact_hit,cov50,cov90,width90,n
-6,model,2.1764267492700067,1.2231029497883716,0.8520519720931375,1.6993146773272416,0.22415762421473442,0.6379211878926327,0.9268989149057681,7.8049685893774985,3502.0
-6,nbm,2.3853632939336156,1.3340913726012085,0.8666512991971272,1.8123929183323815,0.20388349514563106,0.6099371787549971,0.8934894346087949,7.692175899486008,3502.0
-6,persistence,2.294783093160054,1.3440320304654652,0.8675446823730032,1.8123929183323815,0.20388349514563106,0.6784694460308395,0.9406053683609366,10.0,3502.0
-6,residual_hist,2.294783093160054,1.3440320304654652,0.8675446823730032,1.8123929183323815,0.20388349514563106,0.6784694460308395,0.9406053683609366,10.0,3502.0
-5,model,2.1668655777180734,1.209402247176571,0.8503269326436849,1.6778983438035409,0.22501427755568246,0.644774414620217,0.9297544260422616,7.783552255853798,3502.0
-5,nbm,2.3706047485277018,1.320060326137665,0.8654914024564836,1.7898343803540835,0.20759565962307253,0.615648201027984,0.8937749857224443,7.6521987435750995,3502.0
-5,persistence,2.285343301796197,1.3301778130931223,0.8661931243898224,1.7898343803540835,0.20759565962307253,0.6841804683038264,0.9420331239291834,10.0,3502.0
-5,residual_hist,2.285343301796197,1.3301778130931223,0.8661931243898224,1.7898343803540835,0.20759565962307253,0.6841804683038264,0.9420331239291834,10.0,3502.0
-4,model,2.1575368644835553,1.1949207840864258,0.8490207113826945,1.6676185037121645,0.21844660194174756,0.6513420902341519,0.9306110793832096,7.726442033123929,3502.0
-4,nbm,2.3581126383799793,1.3117370921597888,0.8651996592828795,1.7752712735579668,0.2098800685322673,0.6176470588235294,0.8940605368360937,7.579097658480868,3502.0
-4,persistence,2.277171520495405,1.3213572127015203,0.8651325828438584,1.7752712735579668,0.2098800685322673,0.6850371216447744,0.9446030839520274,10.0,3502.0
-4,residual_hist,2.277171520495405,1.3213572127015203,0.8651325828438584,1.7752712735579668,0.2098800685322673,0.6850371216447744,0.9446030839520274,10.0,3502.0
-3,model,2.1547166018436594,1.188845780126163,0.8489631490879417,1.6593375214163335,0.220445459737293,0.6550542547115934,0.9331810394060537,7.721016561964592,3502.0
-3,nbm,2.3440147352759357,1.307845128388931,0.8643639297555713,1.7718446601941749,0.211307824100514,0.6150770988006853,0.8949171901770417,7.550542547115934,3502.0
-3,persistence,2.273550140554406,1.3182885765909444,0.8648269047912328,1.7718446601941749,0.211307824100514,0.6844660194174758,0.9294688749286122,9.0,3502.0
-3,residual_hist,2.273550140554406,1.3182885765909444,0.8648269047912328,1.7718446601941749,0.211307824100514,0.6844660194174758,0.9294688749286122,9.0,3502.0
-2,model,2.1501396662882803,1.1830877456925324,0.8481865011996476,1.6576242147344376,0.2158766419189035,0.6579097658480868,0.9308966304968589,7.721302113078241,3502.0
